Timestamp,Affective_19,Affective_17,Affective_97,Affective_46,Affective_8,Affective_83,Affective_45,Affective_67,Affective_13,Affective_63,Rational_19,Rational_17,Rational_97,Rational_46,Rational_8,Rational_83,Rational_45,Rational_67,Rational_13,Rational_63
1900-01-01 00:00:00,19.3837,38.9175,18.1232,37.5072,9.8724,31.9674,9.64489,25.2612,24.7394,33.6119,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:00:00,19.3837,38.9175,18.1232,37.5072,9.8724,31.9674,9.64489,25.2612,24.7394,33.6119,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:00:00,19.3837,38.9175,18.1232,37.5072,9.8724,31.9674,9.64489,25.2612,24.7394,33.6119,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:00:05,19.3837,38.9175,18.1232,37.5072,9.8724,31.9674,9.64489,25.2612,24.7394,33.6119,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:00:10,19.3837,38.9175,18.1232,37.5072,9.8724,31.9674,9.64489,25.2612,24.7394,33.6119,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:00:15,19.3837,38.9175,18.1232,37.5072,9.8724,31.9674,9.64489,25.2612,24.7394,33.6119,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:00:20,19.3837,38.9175,18.1232,37.5072,9.8724,31.9674,9.64489,25.2612,24.7394,33.6119,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:00:25,16.9723,34.076,15.8687,32.8412,0.0,27.9906,8.44504,22.1186,61.2857,29.4305,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:00:30,16.9723,34.076,15.8687,32.8412,0.0,27.9906,8.44504,22.1186,61.2857,29.4305,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:00:35,16.9723,34.076,15.8687,32.8412,0.0,27.9906,8.44504,22.1186,61.2857,29.4305,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:00:40,16.9723,34.076,15.8687,32.8412,0.0,27.9906,8.44504,22.1186,61.2857,29.4305,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:00:45,15.5034,67.3214,14.4953,29.9989,0.0,25.568,7.71413,20.2043,0.0,26.8833,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:00:50,15.5034,67.3214,14.4953,29.9989,0.0,25.568,7.71413,20.2043,0.0,26.8833,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:00:55,15.5034,67.3214,14.4953,29.9989,0.0,25.568,7.71413,20.2043,0.0,26.8833,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:01:00,15.5034,67.3214,14.4953,29.9989,0.0,25.568,7.71413,20.2043,0.0,26.8833,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:01:05,15.5034,67.3214,14.4953,29.9989,0.0,25.568,7.71413,20.2043,0.0,26.8833,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:01:10,15.5034,67.3214,14.4953,29.9989,0.0,25.568,7.71413,20.2043,0.0,26.8833,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:01:15,15.5034,67.3214,14.4953,29.9989,0.0,25.568,7.71413,20.2043,0.0,26.8833,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:01:20,15.5034,67.3214,14.4953,29.9989,0.0,25.568,7.71413,20.2043,0.0,26.8833,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:01:25,15.5034,67.3214,14.4953,29.9989,0.0,25.568,7.71413,20.2043,0.0,26.8833,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:01:30,15.5034,67.3214,14.4953,29.9989,0.0,25.568,7.71413,20.2043,0.0,26.8833,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:01:35,15.5034,67.3214,14.4953,29.9989,0.0,25.568,7.71413,20.2043,0.0,26.8833,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:01:40,15.5034,67.3214,14.4953,29.9989,0.0,25.568,7.71413,20.2043,0.0,26.8833,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:01:45,15.5034,67.3214,14.4953,29.9989,0.0,25.568,7.71413,20.2043,0.0,26.8833,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:01:50,15.5034,67.3214,14.4953,29.9989,0.0,25.568,7.71413,20.2043,0.0,26.8833,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:01:55,15.5034,67.3214,14.4953,29.9989,0.0,25.568,7.71413,20.2043,0.0,26.8833,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:02:00,15.5034,67.3214,14.4953,29.9989,0.0,25.568,7.71413,20.2043,0.0,26.8833,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:02:05,15.5034,67.3214,14.4953,29.9989,0.0,25.568,7.71413,20.2043,0.0,26.8833,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:02:10,15.5034,67.3214,14.4953,29.9989,0.0,25.568,7.71413,20.2043,0.0,26.8833,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:02:15,15.5034,67.3214,14.4953,29.9989,0.0,25.568,7.71413,20.2043,0.0,26.8833,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:02:20,15.5034,67.3214,14.4953,29.9989,0.0,25.568,7.71413,20.2043,0.0,26.8833,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:02:25,15.5034,67.3214,14.4953,29.9989,0.0,25.568,7.71413,20.2043,0.0,26.8833,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:02:30,15.5034,67.3214,14.4953,29.9989,0.0,25.568,7.71413,20.2043,0.0,26.8833,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:02:35,134.818,0.0,5.17744,10.715,0.0,9.13242,2.75534,7.21659,0.0,9.60222,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:02:40,134.818,0.0,5.17744,10.715,0.0,9.13242,2.75534,7.21659,0.0,9.60222,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:02:45,134.818,0.0,5.17744,10.715,0.0,9.13242,2.75534,7.21659,0.0,9.60222,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:02:50,134.818,0.0,5.17744,10.715,0.0,9.13242,2.75534,7.21659,0.0,9.60222,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:02:55,134.818,0.0,5.17744,10.715,0.0,9.13242,2.75534,7.21659,0.0,9.60222,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:03:00,134.818,0.0,5.17744,10.715,0.0,9.13242,2.75534,7.21659,0.0,9.60222,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:03:05,134.818,0.0,5.17744,10.715,0.0,9.13242,2.75534,7.21659,0.0,9.60222,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:03:10,134.818,0.0,5.17744,10.715,0.0,9.13242,2.75534,7.21659,0.0,9.60222,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:03:15,134.818,0.0,5.17744,10.715,0.0,9.13242,2.75534,7.21659,0.0,9.60222,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:03:20,134.818,0.0,5.17744,10.715,0.0,9.13242,2.75534,7.21659,0.0,9.60222,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:03:25,134.818,0.0,5.17744,10.715,0.0,9.13242,2.75534,7.21659,0.0,9.60222,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:03:30,134.818,0.0,5.17744,10.715,0.0,9.13242,2.75534,7.21659,0.0,9.60222,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:03:35,134.818,0.0,5.17744,10.715,0.0,9.13242,2.75534,7.21659,0.0,9.60222,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:03:40,134.818,0.0,5.17744,10.715,0.0,9.13242,2.75534,7.21659,0.0,9.60222,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:03:45,134.818,0.0,5.17744,10.715,0.0,9.13242,2.75534,7.21659,0.0,9.60222,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:03:50,134.818,0.0,5.17744,10.715,0.0,9.13242,2.75534,7.21659,0.0,9.60222,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:03:55,134.818,0.0,5.17744,10.715,0.0,9.13242,2.75534,7.21659,0.0,9.60222,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:04:00,134.818,0.0,5.17744,10.715,0.0,9.13242,2.75534,7.21659,0.0,9.60222,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:04:05,134.818,0.0,5.17744,10.715,0.0,9.13242,2.75534,7.21659,0.0,9.60222,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:04:10,134.818,0.0,5.17744,10.715,0.0,9.13242,2.75534,7.21659,0.0,9.60222,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:04:15,134.818,0.0,5.17744,10.715,0.0,9.13242,2.75534,7.21659,0.0,9.60222,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:04:20,134.818,0.0,5.17744,10.715,0.0,9.13242,2.75534,7.21659,0.0,9.60222,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:04:25,134.818,0.0,5.17744,10.715,0.0,9.13242,2.75534,7.21659,0.0,9.60222,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:04:30,134.818,0.0,5.17744,10.715,0.0,9.13242,2.75534,7.21659,0.0,9.60222,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:04:35,134.818,0.0,5.17744,10.715,0.0,9.13242,2.75534,7.21659,0.0,9.60222,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:04:40,134.818,0.0,5.17744,10.715,0.0,9.13242,2.75534,7.21659,0.0,9.60222,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:04:45,134.818,0.0,5.17744,10.715,0.0,9.13242,2.75534,7.21659,0.0,9.60222,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:04:50,134.818,0.0,5.17744,10.715,0.0,9.13242,2.75534,7.21659,0.0,9.60222,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:04:55,134.818,0.0,5.17744,10.715,0.0,9.13242,2.75534,7.21659,0.0,9.60222,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
1900-01-01 00:05:00,134.818,0.0,5.17744,10.715,0.0,9.13242,2.75534,7.21659,0.0,9.60222,19.033,27.1652,29.613,21.1585,12.5161,22.3241,2.86524,30.208,3.95289,4.76428
